personId,firstName,lastName,year,decade,games_played,total_minutes,avg_minutes,position,points,assists,blocks,steals,turnovers,reboundsTotal,reboundsOffensive,reboundsDefensive,foulsPersonal,plusMinusPoints,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage
2.0,Byron,Scott,1984.0,1980.0,77,2126.0,27.61,,13.97,2.45,0.27,1.16,1.7,2.58,0.82,1.77,2.7,0.0,11.48,5.96,0.51,0.32,0.08,0.06,2.45,1.97,0.6
2.0,Byron,Scott,1985.0,1980.0,74,2103.0,28.42,,16.65,2.77,0.19,1.31,1.54,2.5,0.61,1.89,2.26,0.0,13.15,7.0,0.52,0.99,0.41,0.25,2.72,2.24,0.67
2.0,Byron,Scott,1986.0,1980.0,79,2351.0,29.76,,15.84,2.58,0.23,1.28,1.57,3.22,0.91,2.3,2.16,0.0,13.16,6.62,0.5,1.11,0.51,0.27,2.54,2.09,0.61
2.0,Byron,Scott,1987.0,1980.0,80,2770.0,34.62,,17.6,3.52,0.21,1.61,1.86,3.4,0.72,2.68,2.06,0.0,14.45,7.16,0.49,1.94,0.72,0.3,2.84,2.55,0.7
2.0,Byron,Scott,1988.0,1980.0,82,3094.0,37.73,,22.02,4.09,0.39,1.91,1.98,4.24,0.98,3.27,2.55,0.0,16.88,8.85,0.53,2.1,0.72,0.3,4.18,3.6,0.76
2.0,Byron,Scott,1989.0,1980.0,74,2591.0,35.01,,18.12,3.23,0.41,1.16,2.07,3.8,0.95,2.85,2.46,0.0,15.27,7.23,0.47,2.78,1.18,0.38,3.08,2.49,0.62
2.0,Byron,Scott,1990.0,1990.0,76,2515.0,33.09,,14.97,3.2,0.33,1.07,1.33,3.29,0.54,2.75,2.26,0.0,12.79,6.04,0.48,2.91,1.09,0.35,2.33,1.8,0.58
2.0,Byron,Scott,1991.0,1990.0,85,2699.0,31.75,,14.36,2.01,0.31,1.29,1.01,3.24,0.91,2.33,1.62,0.0,12.47,5.96,0.47,2.33,0.8,0.31,1.94,1.64,0.53
2.0,Byron,Scott,1992.0,1990.0,61,2006.0,32.89,,15.52,3.05,0.26,1.18,1.62,3.34,0.7,2.64,1.67,0.0,12.38,5.69,0.45,2.07,0.74,0.33,4.13,3.41,0.72
2.0,Byron,Scott,1993.0,1990.0,61,1607.0,26.34,,12.33,2.54,0.21,0.95,1.18,1.97,0.38,1.59,1.69,0.0,10.64,4.61,0.42,2.16,0.72,0.27,2.8,2.39,0.65
2.0,Byron,Scott,1994.0,1990.0,82,1438.0,17.54,,10.39,1.74,0.12,0.89,1.57,1.67,0.28,1.39,1.17,0.0,7.78,3.7,0.47,1.51,0.54,0.23,3.04,2.46,0.67
2.0,Byron,Scott,1995.0,1990.0,84,1814.0,21.6,,9.95,1.52,0.2,0.77,1.29,2.13,0.37,1.76,1.65,0.0,7.7,3.29,0.43,2.46,0.95,0.35,2.8,2.43,0.69
2.0,Byron,Scott,1996.0,1990.0,81,1784.0,22.02,G,9.41,1.46,0.25,0.67,1.2,2.11,0.32,1.79,1.28,0.64,7.23,3.04,0.41,2.9,1.06,0.34,2.75,2.27,0.59
2.0,Byron,Scott,1997.0,1990.0,48,782.0,16.29,G,6.21,1.17,0.23,0.67,0.54,1.48,0.31,1.17,0.96,3.06,4.6,1.96,0.37,2.31,0.83,0.33,1.77,1.46,0.48
3.0,Grant,Long,1988.0,1980.0,27,646.0,23.93,,9.15,1.22,0.48,1.15,2.15,5.41,2.52,2.89,3.96,0.0,6.74,2.96,0.42,0.07,0.0,0.0,4.7,3.22,0.56
3.0,Grant,Long,1989.0,1980.0,85,2626.0,30.89,,12.48,1.79,0.61,1.52,2.48,6.46,2.79,3.67,4.33,0.0,8.88,4.48,0.5,0.04,0.0,0.0,4.61,3.52,0.66
3.0,Grant,Long,1990.0,1990.0,78,1721.0,22.06,,6.67,1.33,0.4,1.23,1.38,5.27,2.04,3.23,3.26,0.0,5.41,2.44,0.44,0.05,0.0,0.0,2.51,1.79,0.48
3.0,Grant,Long,1991.0,1990.0,83,2878.0,34.67,,11.72,2.58,0.52,1.55,2.18,7.86,3.13,4.72,3.47,0.0,8.72,4.36,0.49,0.1,0.02,0.02,3.72,2.98,0.69
3.0,Grant,Long,1992.0,1990.0,73,2744.0,37.59,,14.89,2.77,0.58,1.49,2.21,8.4,2.9,5.49,3.4,0.0,10.95,5.55,0.51,0.34,0.11,0.09,4.64,3.68,0.76
3.0,Grant,Long,1993.0,1990.0,67,2306.0,34.42,,13.15,2.31,0.42,1.42,1.64,6.96,2.4,4.55,3.3,0.0,10.97,4.91,0.43,0.31,0.04,0.04,4.19,3.28,0.67
3.0,Grant,Long,1994.0,1990.0,85,2789.0,32.81,,11.89,2.06,0.39,1.25,1.98,7.46,2.82,4.64,3.45,0.0,9.52,4.4,0.46,0.18,0.07,0.05,3.87,3.02,0.61
